timestep,plant_id,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume_res
38,49915,0.0,0.0,0.0,0.0,0.0,3000.0
38,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1882.607371282373
38,49921,5.820766091345382e-15,0.0,0.0,0.0,5.820766091345382e-15,0.0
38,49922,76.59510574469982,0.0,0.0,54.10925116414633,76.59510574469982,317.59529400179133
38,49923,0.454781810850287,0.0,0.0,0.4547818108502843,0.454781810850287,0.0
38,49924,53.65446935329636,0.0,0.0,46.68966850000011,53.65446935329636,18680.93255140569
38,49925,46.68966850000011,0.0,0.0,0.0,46.68966850000011,290932.17885212414
38,49927,0.0,0.0,0.0,0.0,0.0,93500.0
38,49928,0.0,0.0,0.0,0.0,0.0,0.0
38,49929,0.4547818108502843,0.0,0.0,0.0,0.4547818108502843,25999.886281804815
38,49930,0.0,0.0,0.0,0.0,0.0,24999.999999999985
38,49931,0.4547818108502843,0.0,0.0,0.4547818108502843,0.4547818108502843,0.0
39,49900,102.25218782132858,0.0,0.0,102.27219007245861,102.25218782132858,0.0
39,49901,0.0,0.0,0.0,0.0,0.0,0.0
39,49902,0.0,0.0,82.7841385861,64.0749402744157,82.7841385861,258.31710355406886
39,49903,64.0749402744157,0.0,0.0,64.07527010254073,64.0749402744157,0.0
39,49904,0.0,0.0,0.0,0.0,0.0,0.0
39,49905,64.07527010254073,0.0,0.0,0.0,64.07527010254073,471.99305982419344
39,49906,19.49219007245867,0.0,0.0,93.24683020684039,19.49219007245867,184469.38186912562
39,49907,82.78000000001876,0.0,0.0,82.7841385861,82.78000000001876,0.0
39,49908,0.0,0.0,0.0,0.0,0.0,0.0
39,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18448.962338004316
39,49912,0.0,0.0,0.0,0.0,0.0,32500.0
39,49913,0.0,0.0,0.0,0.0,0.0,0.0
39,49914,0.0,0.0,0.0,0.0,0.0,0.0
39,49915,0.0,0.0,0.0,0.0,0.0,3000.0
39,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1881.7031637306654
39,49921,5.820766091345382e-15,0.0,0.0,0.0,5.820766091345382e-15,0.0
39,49922,76.59510574469982,0.0,0.0,68.39423239965622,76.59510574469982,315.5464777139162
39,49923,10.034232399656492,0.0,0.0,10.034236951577123,10.034232399656492,0.0
39,49924,58.35999999998929,0.0,0.0,46.68966850000011,58.35999999998929,18678.01380140569
39,49925,46.68966850000011,0.0,0.0,0.0,46.68966850000011,290920.5076021241
39,49927,0.0,0.0,0.0,0.0,0.0,93500.0
39,49928,5.0305029999999995,0.0,0.0,5.031006050299999,5.0305029999999995,0.0
39,49929,5.003733951577025,0.0,0.0,0.0,5.003733951577025,25998.63509809269
39,49930,0.0,1.4549004990840303e-11,5.031006050285458,0.0,5.031006050299999,24998.742499999986
39,49931,0.0,0.0,5.003733951577025,5.003733951577025,5.003733951577025,0.0
40,49900,0.0,114.97310670131995,0.0,114.99441455536683,114.97310670131995,0.0
40,49901,0.0,0.0,0.0,0.0,0.0,0.0
40,49902,0.0,0.0,82.78827799999996,56.24967035937504,82.78827799999996,251.68460355406887
40,49903,56.24967035937504,0.0,0.0,56.25374981250019,56.24967035937504,0.0
40,49904,0.0,0.0,0.0,0.0,0.0,0.0
40,49905,56.25374981250019,0.0,0.0,0.0,56.25374981250019,457.93055982419344
40,49906,32.21441455536747,0.0,0.0,93.24683020684559,32.21441455536747,184484.63955048425
40,49907,82.78000000001876,0.0,0.0,82.78827799999996,82.78000000001876,0.0
40,49908,0.0,0.0,0.0,0.0,0.0,0.0
40,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18445.702338004317
40,49912,0.0,0.0,0.0,0.0,0.0,32500.0
40,49913,0.0,0.0,0.0,0.0,0.0,0.0
40,49914,0.0,0.0,0.0,0.0,0.0,0.0
40,49915,0.0,0.0,0.0,0.0,0.0,3000.0
40,49920,80.20683020682316,0.0,0.0,102.11999999999571,80.20683020682316,1887.181456178958
40,49921,0.0,0.0,0.0,0.0,0.0,0.0
40,49922,102.11999999999571,0.0,0.0,74.10768459658483,102.11999999999571,308.5433988523842
40,49923,15.747684596584595,0.0,0.0,15.747684596584618,15.747684596584595,0.0
40,49924,58.35999999998929,0.0,0.0,46.68966850000011,58.35999999998929,18675.09505140569
40,49925,46.68966850000011,0.0,0.0,0.0,46.68966850000011,290908.8363521241
40,49927,0.0,0.0,0.0,0.0,0.0,93500.0
40,49928,2.5155030251645627,0.0,0.0,2.515503025164558,2.5155030251645627,0.0
40,49929,3.2238595321058665,0.0,10.009469596860454,0.0,13.23332912896635,25995.326926954225
40,49930,0.0,2.515503025164558,0.0,0.0,2.515503025164558,24998.113749999982
40,49931,7.49396677192897,0.0,5.738214799491095,13.23332912896635,13.23218157142006,0.0
41,49900,0.0,0.0,142.82154718030466,142.8489657990818,142.82154718030466,0.0
41,49901,0.0,0.0,0.0,0.0,0.0,0.0
41,49902,0.0,0.0,82.7841385861,56.250000187500056,82.7841385861,245.05210355406885
41,49903,56.250000187500056,0.0,0.0,56.25374981250019,56.250000187500056,0.0
41,49904,0.0,0.0,0.0,0.0,0.0,0.0
41,49905,56.25374981250019,0.0,0.0,0.0,56.25374981250019,443.86805982419344
41,49906,60.068965799081724,0.0,0.0,93.24683020680477,60.068965799081724,184492.9337290922
41,49907,82.78000000001876,0.0,0.0,82.7841385861,82.78000000001876,0.0
41,49908,0.0,0.0,0.0,0.0,0.0,0.0
41,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18442.44233800432
41,49912,0.0,0.0,0.0,0.0,0.0,32500.0
41,49913,0.0,0.0,0.0,0.0,0.0,0.0
41,49914,0.0,0.0,0.0,0.0,0.0,0.0
41,49915,0.0,0.0,0.0,0.0,0.0,3000.0
41,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1886.2772486272504
41,49921,2.9100920073236974e-15,0.0,0.0,0.0,2.9100920073236974e-15,0.0
41,49922,76.59510574469982,0.0,0.0,71.67308792887505,76.59510574469982,307.31429531703066
41,49923,13.313087928874998,0.0,0.0,13.313087928875026,13.313087928874998,0.0
41,49924,58.35999999998929,0.0,0.0,46.68966850000011,58.35999999998929,18672.17630140569
41,49925,46.68966850000011,0.0,0.0,7.513497075150029,46.68966850000011,290899.04385212413
41,49927,7.513497075150029,0.0,0.0,0.0,7.513497075150029,93498.12125
41,49928,7.545502974849989,0.0,0.0,7.545502974850003,7.545502974849989,0.0
41,49929,5.003733951591602,0.0,0.7638510024333811,0.0,5.767584954024989,25993.88478048958
41,49930,0.0,0.0,7.545502974850003,0.0,7.545502974850003,24996.227499999983
41,49931,5.003733951577025,0.0,0.7638510024479377,5.767584954024989,5.7675849540249695,0.0
42,49900,140.24728381404307,0.0,0.0,140.27465933827438,140.24728381404307,0.0
42,49901,0.0,0.0,0.0,0.0,0.0,0.0
42,49902,0.0,0.0,82.7841385861,56.24967029340271,82.7841385861,238.41960355406886
42,49903,56.24967029340271,0.0,0.0,56.25374981250019,56.24967029340271,0.0
42,49904,0.0,0.0,0.0,0.0,0.0,0.0
42,49905,56.25374981250019,0.0,0.0,0.0,56.25374981250019,429.80555982419344
42,49906,57.49465933827503,0.0,0.0,93.2468302068037,57.49465933827503,184501.87160227422
42,49907,82.78000000001876,0.0,0.0,82.7841385861,82.78000000001876,0.0
42,49908,0.0,0.0,0.0,0.0,0.0,0.0
42,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18439.18233800432
42,49912,0.0,0.0,0.0,0.0,0.0,32500.0
42,49913,0.0,0.0,0.0,0.0,0.0,0.0
42,49914,0.0,0.0,0.0,0.0,0.0,0.0
42,49915,0.0,0.0,0.0,0.0,0.0,3000.0
