timestep,line_id,transmission,area_from,area_to
89,2,88.14113649435019,2,1
89,3,-5.684341886080802e-14,1,3
89,4,110.37360713799838,3,1
89,5,-5.684341886080802e-14,2,3
89,6,-5.684341886080802e-14,3,2
90,1,-5.684341886080802e-14,1,2
90,2,108.53126653074973,2,1
90,3,-5.684341886080802e-14,1,3
90,4,186.04944629265933,3,1
90,5,-5.684341886080802e-14,2,3
90,6,-5.684341886080802e-14,3,2
91,1,-5.684341886080802e-14,1,2
91,2,140.85883096722515,2,1
91,3,-5.684341886080802e-14,1,3
91,4,158.35647479555175,3,1
91,5,-5.684341886080802e-14,2,3
91,6,2.4465615508837506,3,2
92,1,-5.684341886080802e-14,1,2
92,2,159.31633037957528,2,1
92,3,-5.684341886080802e-14,1,3
92,4,72.3974218579876,3,1
92,5,19.025732132974902,2,3
92,6,-5.684341886080802e-14,3,2
93,1,-5.684341886080802e-14,1,2
93,2,165.57516603726026,2,1
93,3,-5.684341886080802e-14,1,3
93,4,14.89172480737498,3,1
93,5,56.32185544814019,2,3
93,6,-5.684341886080802e-14,3,2
94,1,-5.684341886080802e-14,1,2
94,2,176.2136599118688,2,1
94,3,43.838565603160994,1,3
94,4,96.06706974640004,3,1
94,5,102.43187521368857,2,3
94,6,3.892680342204486,3,2
95,1,35.797350007935556,1,2
95,2,250.0,2,1
95,3,125.0125000000006,1,3
95,4,145.91608459199682,3,1
95,5,132.41550521752265,2,3
95,6,50.47466559273545,3,2
96,1,51.0952497802755,1,2
96,2,237.8902450049194,2,1
96,3,125.0125000000006,1,3
96,4,125.0125000000006,3,1
96,5,157.03518293390852,2,3
96,6,40.87039239677564,3,2
